case,dataset,image_hw,input_c,output_c,base_dim,plot_index,operator_index_27,plot_row_kind,node,op_type,source_nodes,alpha_visible,beta_output,output_top_beta,output_bottom_beta,ct,ct_count_raw,rotation,diagonal_count,bootstrap_count,bootstrap_ct_count,bootstrap_source_node,bootstrap_reason_folded,folded_activation_node,folded_activation_edge_kind,folded_activation_edge_detail,bootstrap_drop_count,bootstrap_drop_ct_saved,bootstrap_drop_slots_saved,bootstrap_drop_detail,edge_kind,incoming_edge_kind,edge_kind_counts,edge_kind_detail,edge_carry_count,edge_fused_count,edge_explicit_count,edge_bootstrap_drop_count_raw,edge_layout_changed_count,edge_carry_halo_count,folded_skip_merge_node,folded_skip_merge_edge_kind,folded_skip_merge_edge_kind_counts,folded_skip_merge_edge_detail,folded_skip_merge_explicit_count,folded_skip_merge_carry_count,folded_skip_merge_fused_count,plot_edge_label,output_gap,output_shape,fhe_output_shape,selected_output_layout,folding_note
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,21,21,operator,up2,ConvTranspose2d,dec3b_act,80,2,2,2,19,19,1024,98304,0,0,,,,,,0,0,0,,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,dec3b_act->up2:carry:layout_same_carry_halo:mode=halo_local,1,0,0,0,0,1,,,,,0,0,0,up2:carry,2,1x64x96x96,1x16x192x192,"{""bottom_beta"":2,""core_slots"":589824,""gap"":2,""stored_slots"":614400,""stride"":2,""tile_count"":19,""top_beta"":2}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,22,22,operator,dec2a,Conv2d,cat2,80,1,1,1,19,19,2304,221184,18,18,dec2a_act,child_level_exceeds_output_level,dec2a_act,carry+bootstrap-drop,dec2a->dec2a_act:carry:layout_same_carry_halo:mode=halo_local;bootstrap-boundary->dec2b:bootstrap-drop:drop_halo_before_bootstrap,1,1,12288,bootstrap-boundary->dec2b:bootstrap-drop:drop_halo_before_bootstrap,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,cat2->dec2a:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,cat2,mixed:carry+explicit,carry=1;fused=0;explicit=1;bootstrap-drop=0,enc2b_act->cat2:explicit:dp_add_input_alignment:mode=halo_local;up2->cat2:carry:layout_same_carry_halo:mode=halo_local,1,1,0,cat2:mixed:carry+explicit | dec2a:fused,2,1x64x96x96,1x16x192x192,"{""bottom_beta"":1,""core_slots"":589824,""gap"":2,""stored_slots"":602112,""stride"":1,""tile_count"":19,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,23,23,operator,dec2b,Conv2d,dec2a_act,80,1,1,1,19,19,13312,106496,0,0,,,,carry,dec2b->dec2b_act:carry:layout_same_carry_halo:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,dec2a_act->dec2b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,dec2b:fused,2,1x64x96x96,1x16x192x192,"{""bottom_beta"":1,""core_slots"":589824,""gap"":2,""stored_slots"":602112,""stride"":2,""tile_count"":19,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,24,24,operator,up1,ConvTranspose2d,dec2b_act,166,2,2,2,37,37,512,24576,0,0,,,,,,0,0,0,,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,dec2b_act->up1:carry:layout_same_carry_halo:mode=halo_local,1,0,0,0,0,1,,,,,0,0,0,up1:carry,1,1x32x192x192,1x32x192x192,"{""bottom_beta"":2,""core_slots"":1179648,""gap"":1,""stored_slots"":1204224,""stride"":2,""tile_count"":37,""top_beta"":2}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,25,25,operator,dec1a,Conv2d,cat1,166,1,1,1,37,37,1152,55296,36,36,dec1a_act,child_level_exceeds_output_level,dec1a_act,carry+bootstrap-drop,dec1a->dec1a_act:carry:layout_same_carry_halo:mode=halo_local;bootstrap-boundary->dec1b:bootstrap-drop:drop_halo_before_bootstrap,1,1,12288,bootstrap-boundary->dec1b:bootstrap-drop:drop_halo_before_bootstrap,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,cat1->dec1a:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,cat1,mixed:carry+explicit,carry=1;fused=0;explicit=1;bootstrap-drop=0,enc1b_act->cat1:explicit:dp_add_input_alignment:mode=halo_local;up1->cat1:carry:layout_same_carry_halo:mode=halo_local,1,1,0,cat1:mixed:carry+explicit | dec1a:fused,1,1x32x192x192,1x32x192x192,"{""bottom_beta"":1,""core_slots"":1179648,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,26,26,operator,dec1b,Conv2d,dec1a_act,170,0,0,0,36,36,3584,26624,0,0,,,,carry,dec1b->dec1b_act:carry:layout_same_carry_compact:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,dec1a_act->dec1b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,dec1b:fused,1,1x32x192x192,1x32x192x192,"{""bottom_beta"":0,""core_slots"":1179648,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,27,27,operator,output,Conv2d,dec1b_act,170,0,0,0,5,5,576,256,0,0,,,,,,0,0,0,,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,dec1b_act->output:carry:layout_same_carry_compact:mode=halo_local,1,0,0,0,0,0,,,,,0,0,0,output:carry,1,1x4x192x192,1x4x192x192,"{""bottom_beta"":0,""gap"":1,""stored_slots"":147456,""stride"":1,""tile_count"":5,""top_beta"":0}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
224x224_HanCo_Hand,HanCo Hand Segmentation Dataset,224x224,3,1,32,1,1,operator,enc1a,Conv2d,x,143,1,1,1,50,50,336,2496,0,0,,,,carry,enc1a->enc1a_act:carry:layout_same_carry_halo:mode=halo_local,0,0,0,,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,x->enc1a:carry:layout_same_carry_halo:mode=native_halo_stripe,1,0,0,0,0,1,,,,,0,0,0,enc1a:carry,1,1x32x224x224,1x32x224x224,"{""bottom_beta"":1,""core_slots"":1605632,""gap"":1,""stored_slots"":1619968,""stride"":1,""tile_count"":50,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
224x224_HanCo_Hand,HanCo Hand Segmentation Dataset,224x224,3,1,32,2,2,operator,enc1b,Conv2d,enc1a_act,146,0,0,0,49,49,3584,26624,49,49,enc1b,child_level_exceeds_output_level,,carry,enc1b->enc1b_act:carry:layout_same_carry_compact:mode=halo_local,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,enc1a_act->enc1b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,1,0,,,,,0,0,0,enc1b:fused,1,1x32x224x224,1x32x224x224,"{""bottom_beta"":0,""core_slots"":1605632,""gap"":1,""stored_slots"":1605632,""stride"":1,""tile_count"":49,""top_beta"":0}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
224x224_HanCo_Hand,HanCo Hand Segmentation Dataset,224x224,3,1,32,3,3,operator,pool1,AvgPool2d,enc1b_act,68,1,1,1,13,13,160,320,0,0,,,,,,0,0,0,,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,enc1b_act->pool1:fused:layout_changed_by_AvgPool2d:mode=halo_local,0,1,0,0,1,0,,,,,0,0,0,pool1:fused,2,1x32x112x112,1x8x224x224,"{""bottom_beta"":1,""core_slots"":401408,""gap"":2,""stored_slots"":408576,""stride"":1,""tile_count"":13,""top_beta"":1}",B/CT-saving bootstrap-drop folded from following SiLU when present; 27-op table also folds cat explicit skip alignment onto decoder-a rows
